width_ms,rep,t_ms,tau
2,11,3.558795,0.074215
2,11,5.563861,0.123691
2,11,7.539208,-0.024738
2,11,9.241888,0.049477
2,11,11.520950,0.049477
2,11,13.485751,0.123691
2,11,15.476589,-0.024738
2,11,17.407040,0.000000
2,11,19.388666,0.024738
2,11,21.381647,0.148430
2,11,23.402805,0.074215
2,11,25.365237,0.049477
2,11,27.123899,0.024738
2,11,29.378733,0.024738
2,11,31.154413,0.123691
2,11,33.335983,0.024738
2,11,35.129197,0.000000
2,11,37.380757,0.049477
2,11,39.361628,0.049477
2,11,41.294046,0.049477
2,11,43.391103,0.148430
2,11,45.422292,0.049477
2,11,47.413758,0.123691
2,11,49.452848,0.123691
2,11,51.462951,0.148430
2,11,53.472968,0.148430
2,11,55.383955,0.123691
2,11,57.506555,0.049477
2,11,59.485911,0.123691
2,11,61.534631,0.049477
2,12,0.136209,0.123691
2,12,2.310736,0.123691
2,12,4.246088,0.024738
2,12,6.194144,-0.321598
2,12,8.256250,-0.321598
2,12,10.047333,0.000000
2,12,12.025499,-0.148430
2,12,14.040367,0.024738
2,12,16.031329,0.024738
2,12,18.285369,0.024738
2,12,20.034487,0.024738
2,12,22.279853,0.049477
2,12,24.076004,0.049477
2,12,26.184363,0.148430
2,12,28.181471,0.000000
2,12,30.065505,0.049477
2,12,32.278878,0.049477
2,12,34.266176,0.049477
2,12,36.301542,0.024738
2,12,38.249202,0.024738
2,12,40.172054,0.049477
2,12,42.266245,0.024738
2,12,44.079905,0.024738
2,12,46.112849,0.049477
2,12,48.006864,0.049477
2,12,50.162225,0.000000
2,12,52.251922,0.049477
2,12,54.129392,0.049477
2,12,56.240966,0.049477
2,12,58.217684,0.049477
2,12,60.242188,0.074215
2,12,62.030735,0.123691
2,13,1.137794,0.049477
2,13,3.182080,0.173168
2,13,4.980605,-0.024738
2,13,6.966007,0.148430
2,13,9.086291,-0.024738
2,13,11.226433,0.123691
2,13,13.186583,0.123691
2,13,15.167896,0.074215
2,13,17.171000,0.049477
2,13,19.105012,0.024738
2,13,21.075783,0.173168
2,13,23.171653,0.148430
2,13,25.162279,0.074215
2,13,27.174608,0.000000
2,13,29.136946,0.000000
2,13,31.148904,0.024738
2,13,33.133797,0.074215
2,13,35.146738,0.074215
2,13,37.131056,0.049477
2,13,38.825245,0.049477
2,13,41.079218,0.074215
2,13,43.086204,0.074215
2,13,45.092214,0.074215
2,13,47.090626,0.000000
2,13,49.167952,0.074215
2,13,51.159508,0.049477
2,13,53.179227,0.148430
2,13,55.306118,0.173168
2,13,57.151575,0.123691
2,13,59.177220,0.049477
2,13,61.165974,0.049477
2,14,0.066109,0.024738
2,14,2.090188,0.049477
2,14,4.123808,0.123691
2,14,6.068091,0.123691
2,14,7.930747,0.000000
2,14,10.044271,-0.024738
2,14,12.248563,-0.024738
2,14,13.940721,0.074215
2,14,15.897764,0.074215
2,14,18.077415,0.173168
2,14,20.116079,0.074215
2,14,21.768223,0.074215
2,14,24.075193,0.074215
2,14,25.823452,0.049477
2,14,28.021912,0.049477
2,14,30.142959,0.049477
2,14,31.815433,0.049477
2,14,33.929704,0.000000
2,14,36.081238,0.049477
2,14,37.946871,0.074215
2,14,39.971403,0.000000
2,14,41.974219,0.049477
2,14,43.963997,0.049477
2,14,45.970699,0.024738
2,14,48.036865,0.222645
2,14,50.070871,0.000000
2,14,52.033435,0.074215
2,14,53.964272,0.074215
2,14,55.825336,0.074215
2,14,57.853657,0.049477
2,14,60.059711,0.074215
2,14,62.121975,0.074215
2,15,1.239596,0.123691
2,15,3.021720,0.049477
2,15,5.254800,-0.024738
2,15,7.280834,-0.321598
2,15,9.024330,0.346336
2,15,11.228371,0.049477
2,15,13.109017,-0.049477
2,15,15.224706,0.024738
2,15,17.227169,0.000000
2,15,19.083413,0.049477
2,15,21.282386,0.049477
