t_sys,force_FR,force_est_FR,force_FL,force_est_FL,force_RR,force_est_RR,force_RL,force_est_RL
4979.683912,104,0,112,0,133,0,132,0
4979.685904,104,0,112,0,133,0,132,0
4979.687969,104,0,112,0,133,0,132,0
4979.689934,104,0,112,0,133,0,132,0
4979.691937,104,0,112,0,133,0,132,0
4979.693918,104,0,112,0,133,0,132,0
4979.695957,104,0,112,0,133,0,132,0
4979.697907,104,0,112,0,133,0,132,0
4979.699971,104,0,112,0,133,0,132,0
4979.701958,104,0,112,0,133,0,132,0
4979.703954,104,0,112,0,133,0,132,0
4979.705957,104,0,112,0,133,0,132,0
4979.707975,104,0,112,0,133,0,132,0
4979.709925,104,0,112,0,133,0,132,0
4979.711933,104,0,112,0,133,0,132,0
4979.713919,104,0,112,0,133,0,132,0
4979.715730,104,0,112,0,133,0,132,0
4979.717827,104,0,112,0,133,0,132,0
4979.719753,104,0,112,0,133,0,132,0
4979.721759,104,0,112,0,133,0,132,0
4979.723931,104,0,112,0,133,0,132,0
4979.725776,104,0,112,0,133,0,132,0
4979.727745,104,0,112,0,133,0,132,0
4979.729728,104,0,112,0,133,0,132,0
4979.731773,104,0,112,0,133,0,132,0
4979.733769,104,0,112,0,133,0,132,0
4979.735823,104,0,112,0,133,0,132,0
4979.737808,104,0,112,0,133,0,132,0
4979.739765,104,0,112,0,133,0,132,0
4979.741678,104,0,112,0,133,0,132,0
4979.743703,104,0,112,0,133,0,132,0
4979.745679,104,0,112,0,133,0,132,0
4979.747705,104,0,112,0,133,0,132,0
4979.749758,104,0,112,0,133,0,132,0
4979.751741,104,0,112,0,133,0,132,0
4979.753739,104,0,112,0,133,0,132,0
4979.755734,104,0,112,0,133,0,132,0
4979.757758,104,0,112,0,133,0,132,0
4979.759745,104,0,112,0,133,0,132,0
4979.761754,104,0,112,0,133,0,132,0
4979.763952,104,0,112,0,133,0,132,0
4979.765875,104,0,112,0,133,0,132,0
4979.767901,104,0,112,0,133,0,132,0
4979.769890,104,0,112,0,133,0,132,0
4979.771915,104,0,112,0,133,0,132,0
4979.774179,104,0,112,0,133,0,132,0
4979.775974,104,0,112,0,133,0,132,0
4979.777948,104,0,112,0,133,0,132,0
4979.779893,104,0,112,0,133,0,132,0
4979.781948,104,0,112,0,133,0,132,0
4979.783950,104,0,112,0,133,0,132,0
4979.785962,104,0,112,0,133,0,132,0
4979.787968,104,0,112,0,133,0,132,0
4979.790024,104,0,112,0,133,0,132,0
4979.791855,104,0,112,0,133,0,132,0
4979.794011,104,0,112,0,133,0,132,0
4979.795998,104,0,112,0,133,0,132,0
4979.797977,104,0,112,0,133,0,132,0
4979.799941,104,0,112,0,133,0,132,0
4979.801904,104,0,112,0,133,0,132,0
4979.803899,104,0,112,0,133,0,132,0
4979.805901,104,0,112,0,133,0,132,0
4979.807914,104,0,112,0,133,0,132,0
4979.809889,104,0,112,0,133,0,132,0
4979.812002,104,0,112,0,133,0,132,0
4979.813908,104,0,112,0,133,0,132,0
4979.815951,104,0,112,0,133,0,132,0
4979.818011,104,0,112,0,133,0,132,0
4979.819955,104,0,112,0,133,0,132,0
4979.821936,104,0,112,0,133,0,132,0
4979.824058,104,0,112,0,133,0,132,0
4979.825948,104,0,112,0,133,0,132,0
4979.827954,104,0,112,0,133,0,132,0
4979.829852,104,0,112,0,133,0,132,0
4979.831961,104,0,112,0,133,0,132,0
4979.833951,104,0,112,0,133,0,132,0
4979.835965,104,0,112,0,133,0,132,0
4979.837969,104,0,112,0,133,0,132,0
4979.839942,104,0,112,0,133,0,132,0
4979.841966,104,0,112,0,133,0,132,0
4979.843988,104,0,112,0,133,0,132,0
4979.845966,104,0,112,0,133,0,132,0
4979.848007,104,0,112,0,133,0,132,0
4979.849915,104,0,112,0,133,0,132,0
4979.851956,104,0,112,0,133,0,132,0
4979.853965,104,0,112,0,133,0,132,0
4979.855972,104,0,112,0,133,0,132,0
4979.858034,104,0,112,0,133,0,132,0
4979.859976,104,0,112,0,133,0,132,0
4979.862084,104,0,112,0,133,0,132,0
4979.864017,104,0,112,0,133,0,132,0
4979.866024,104,0,112,0,133,0,132,0
4979.868090,104,0,112,0,133,0,132,0
4979.870036,104,0,112,0,133,0,132,0
4979.872019,104,0,112,0,133,0,132,0
4979.874112,104,0,112,0,133,0,132,0
4979.876018,104,0,112,0,133,0,132,0
4979.878032,104,0,112,0,133,0,132,0
4979.880065,104,0,112,0,133,0,132,0
4979.882045,104,0,112,0,133,0,132,0
4979.884072,104,0,112,0,133,0,132,0
4979.886030,104,0,112,0,133,0,132,0
4979.888050,104,0,112,0,133,0,132,0
4979.890044,104,0,112,0,133,0,132,0
4979.892035,104,0,112,0,133,0,132,0
4979.894091,104,0,112,0,133,0,132,0
4979.896014,104,0,112,0,133,0,132,0
4979.898027,104,0,112,0,133,0,132,0
4979.899998,104,0,112,0,133,0,132,0
4979.902001,104,0,112,0,133,0,132,0
4979.903971,104,0,112,0,133,0,132,0
4979.906009,104,0,112,0,133,0,132,0
4979.908000,104,0,112,0,133,0,132,0
4979.909987,104,0,112,0,133,0,132,0
4979.911998,104,0,112,0,133,0,132,0
4979.914024,104,0,112,0,133,0,132,0
4979.915981,104,0,112,0,133,0,132,0
4979.917978,104,0,112,0,133,0,132,0
4979.920004,104,0,112,0,133,0,132,0
4979.921970,104,0,112,0,133,0,132,0
4979.924084,104,0,112,0,133,0,132,0
4979.926010,104,0,112,0,133,0,132,0
4979.927946,104,0,112,0,133,0,132,0
4979.930000,104,0,112,0,133,0,132,0
4979.932016,104,0,112,0,133,0,132,0
4979.933974,104,0,112,0,133,0,132,0
4979.935922,104,0,112,0,133,0,132,0
4979.937990,104,0,112,0,133,0,132,0
4979.939946,104,0,112,0,133,0,132,0
4979.941978,104,0,112,0,133,0,132,0
4979.943952,104,0,112,0,133,0,132,0
4979.945975,104,0,112,0,133,0,132,0
4979.947938,104,0,112,0,133,0,132,0
4979.950039,104,0,112,0,133,0,132,0
4979.951949,104,0,112,0,133,0,132,0
4979.953983,104,0,112,0,133,0,132,0
4979.955961,104,0,112,0,133,0,132,0
4979.957930,104,0,112,0,133,0,132,0
4979.960004,104,0,112,0,133,0,132,0
4979.961974,104,0,112,0,133,0,132,0
4979.963985,104,0,112,0,133,0,132,0
4979.965946,104,0,112,0,133,0,132,0
4979.967961,104,0,112,0,133,0,132,0
4979.969951,104,0,112,0,133,0,132,0
4979.971958,104,0,112,0,133,0,132,0
4979.973833,104,0,112,0,133,0,132,0
4979.975901,104,0,112,0,133,0,132,0
4979.977906,104,0,112,0,133,0,132,0
4979.979923,104,0,112,0,133,0,132,0
4979.981958,104,0,112,0,133,0,132,0
4979.983909,104,0,112,0,133,0,132,0
4979.985991,104,0,112,0,133,0,132,0
4979.988032,104,0,112,0,133,0,132,0
4979.989995,104,0,112,0,133,0,132,0
4979.991915,104,0,112,0,133,0,132,0
4979.993940,104,0,112,0,133,0,132,0
4979.995927,104,0,112,0,133,0,132,0
4979.997935,104,0,112,0,133,0,132,0
4979.999967,104,0,112,0,133,0,132,0
4980.001965,104,0,112,0,133,0,132,0
4980.003974,104,0,112,0,133,0,132,0
4980.005996,104,0,112,0,133,0,132,0
4980.008032,104,0,112,0,133,0,132,0
4980.010030,104,0,112,0,133,0,132,0
4980.011971,104,0,112,0,133,0,132,0
4980.013973,104,0,112,0,133,0,132,0
4980.015943,104,0,112,0,133,0,132,0
4980.018000,104,0,112,0,133,0,132,0
4980.019966,104,0,112,0,133,0,132,0
4980.021962,104,0,112,0,133,0,132,0
4980.024040,104,0,112,0,133,0,132,0
4980.026049,104,0,112,0,133,0,132,0
4980.028016,104,0,112,0,133,0,132,0
4980.029979,104,0,112,0,133,0,132,0
4980.031975,104,0,112,0,133,0,132,0
4980.033978,104,0,112,0,133,0,132,0
4980.035921,104,0,112,0,133,0,132,0
4980.038004,104,0,112,0,133,0,132,0
4980.039950,104,0,112,0,133,0,132,0
4980.041926,104,0,112,0,133,0,132,0
4980.044005,104,0,112,0,133,0,132,0
4980.045964,104,0,112,0,133,0,132,0
4980.047966,104,0,112,0,133,0,132,0
4980.049943,104,0,112,0,133,0,132,0
4980.051962,104,0,112,0,133,0,132,0
4980.053974,104,0,112,0,133,0,132,0
4980.055982,104,0,112,0,133,0,132,0
4980.058019,104,0,112,0,133,0,132,0
4980.060005,104,0,112,0,133,0,132,0
4980.061902,104,0,112,0,133,0,132,0
4980.064005,104,0,112,0,133,0,132,0
4980.066001,104,0,112,0,133,0,132,0
4980.068007,104,0,112,0,133,0,132,0
4980.069960,104,0,112,0,133,0,132,0
4980.072009,104,0,112,0,133,0,132,0
4980.074115,104,0,112,0,133,0,132,0
4980.075948,104,0,112,0,133,0,132,0
4980.077990,104,0,112,0,133,0,132,0
4980.079913,104,0,112,0,133,0,132,0
4980.081954,104,0,112,0,133,0,132,0
4980.083970,104,0,112,0,133,0,132,0
4980.085993,104,0,112,0,133,0,132,0
4980.088003,104,0,112,0,133,0,132,0
4980.089979,104,0,112,0,133,0,132,0
4980.091995,104,0,112,0,133,0,132,0
4980.093935,104,0,112,0,133,0,132,0
4980.095957,104,0,112,0,133,0,132,0
4980.098028,104,0,112,0,133,0,132,0
4980.099983,104,0,112,0,133,0,132,0
4980.102002,104,0,112,0,133,0,132,0
4980.103963,104,0,112,0,133,0,132,0
4980.106066,104,0,112,0,133,0,132,0
4980.108047,104,0,112,0,133,0,132,0
4980.110037,104,0,112,0,133,0,132,0
4980.112036,104,0,112,0,133,0,132,0
4980.113991,104,0,112,0,133,0,132,0
4980.115975,104,0,112,0,133,0,132,0
4980.117904,104,0,112,0,133,0,132,0
4980.119981,104,0,112,0,133,0,132,0
4980.121948,104,0,112,0,133,0,132,0
4980.124166,104,0,112,0,133,0,132,0
4980.125941,104,0,112,0,133,0,132,0
4980.127959,104,0,112,0,133,0,132,0
4980.129941,104,0,112,0,133,0,132,0
4980.131992,104,0,112,0,133,0,132,0
4980.133964,104,0,112,0,133,0,132,0
4980.135989,104,0,112,0,133,0,132,0
4980.138000,104,0,112,0,133,0,132,0
4980.139972,104,0,112,0,133,0,132,0
4980.141956,104,0,112,0,133,0,132,0
4980.143913,104,0,112,0,133,0,132,0
4980.145971,104,0,112,0,133,0,132,0
4980.147954,104,0,112,0,133,0,132,0
4980.149980,104,0,112,0,133,0,132,0
4980.151914,104,0,112,0,133,0,132,0
4980.153960,104,0,112,0,133,0,132,0
4980.155993,104,0,112,0,133,0,132,0
4980.157973,104,0,112,0,133,0,132,0
4980.160034,104,0,112,0,133,0,132,0
4980.161973,104,0,112,0,133,0,132,0
4980.163988,104,0,112,0,133,0,132,0
4980.165985,104,0,112,0,133,0,132,0
4980.168036,104,0,112,0,133,0,132,0
4980.170012,104,0,112,0,133,0,132,0
4980.171985,104,0,112,0,133,0,132,0
4980.173780,104,0,112,0,133,0,132,0
4980.175975,104,0,112,0,133,0,132,0
4980.177972,104,0,112,0,133,0,132,0
4980.179961,104,0,112,0,133,0,132,0
4980.181958,104,0,112,0,133,0,132,0
4980.183902,104,0,112,0,133,0,132,0
4980.185840,104,0,112,0,133,0,132,0
4980.187891,104,0,112,0,133,0,132,0
4980.189854,104,0,112,0,133,0,132,0
4980.192235,104,0,112,0,133,0,132,0
4980.194125,104,0,112,0,133,0,132,0
4980.196216,104,0,112,0,133,0,132,0
4980.197970,104,0,112,0,133,0,132,0
4980.200159,104,0,112,0,133,0,132,0
4980.202147,104,0,112,0,133,0,132,0
4980.203921,104,0,112,0,133,0,132,0
4980.205963,104,0,112,0,133,0,132,0
4980.208000,104,0,112,0,133,0,132,0
4980.210212,104,0,112,0,133,0,132,0
4980.212170,104,0,112,0,133,0,132,0
4980.214186,104,0,112,0,133,0,132,0
4980.215971,104,0,112,0,133,0,132,0
4980.218203,104,0,112,0,133,0,132,0
4980.220172,104,0,112,0,133,0,132,0
4980.222199,104,0,112,0,133,0,132,0
4980.224369,104,0,112,0,133,0,132,0
4980.226134,104,0,112,0,133,0,132,0
4980.228176,104,0,112,0,133,0,132,0
4980.230133,104,0,112,0,133,0,132,0
4980.232138,104,0,112,0,133,0,132,0
4980.233976,104,0,112,0,133,0,132,0
4980.236121,104,0,112,0,133,0,132,0
4980.238131,104,0,112,0,133,0,132,0
4980.240137,104,0,112,0,133,0,132,0
4980.242134,104,0,112,0,133,0,132,0
4980.244139,104,0,112,0,133,0,132,0
