t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
4966.463297,0.98737621,0.00085523,-0.00791346,-0.15819217,0.00639159,-0.00745685,-0.01171791,-0.09217677,-0.12928689,9.42956352,0.00419307,-0.01535715,-0.31776136
4966.465177,0.98737508,0.00084966,-0.00791513,-0.15819959,0.00000000,-0.01704423,-0.02024002,-0.09217677,-0.05267244,9.35893440,0.00418272,-0.01536217,-0.31777629
4966.467385,0.98737508,0.00083901,-0.00789800,-0.15820034,-0.01171791,0.00852211,-0.00319579,-0.09217677,-0.05267244,9.35893440,0.00415628,-0.01533171,-0.31777754
4966.469345,0.98737437,0.00083625,-0.00790425,-0.15820457,-0.01491370,-0.00745685,-0.00532632,-0.09217677,-0.05267244,9.35893440,0.00415286,-0.01534492,-0.31778616
4966.471326,0.98737407,0.00082661,-0.00790687,-0.15820614,-0.01704423,-0.00852211,-0.00213053,-0.01077391,-0.12569559,9.30865574,0.00413468,-0.01535314,-0.31778917
4966.473364,0.98737574,0.00081991,-0.00789547,-0.15819634,-0.00639159,-0.00532632,0.00639159,-0.01077391,-0.12569559,9.30865574,0.00411769,-0.01533278,-0.31776908
4966.475339,0.98737657,0.00081858,-0.00790352,-0.15819113,0.00000000,-0.01491370,-0.00106526,-0.03471592,-0.18076223,9.36252594,0.00411752,-0.01534911,-0.31775862
4966.477324,0.98737669,0.00081782,-0.00789938,-0.15819030,0.00426106,-0.00106526,-0.00532632,-0.03471592,-0.18076223,9.36252594,0.00411471,-0.01534119,-0.31775689
4966.479217,0.98737764,0.00082491,-0.00789272,-0.15818490,0.00319579,-0.00639159,0.00852211,-0.03471592,-0.18076223,9.36252594,0.00412651,-0.01532581,-0.31774598
4966.481333,0.98737824,0.00082389,-0.00790133,-0.15818021,-0.00745685,-0.01384844,0.00852211,-0.10055647,-0.21308395,9.35534286,0.00412714,-0.01534316,-0.31773654
4966.483124,0.98738050,0.00082650,-0.00789670,-0.15816680,0.00213053,0.00213053,0.01704423,-0.10055647,-0.21308395,9.35534286,0.00413063,-0.01533326,-0.31770939
4966.485307,0.98738122,0.00083065,-0.00790095,-0.15816173,0.01171791,-0.02982740,0.00213053,-0.08259996,-0.17238252,9.34097767,0.00414010,-0.01534035,-0.31769919
4966.487384,0.98738217,0.00082504,-0.00790571,-0.15815543,-0.01278317,-0.02130529,0.00319579,-0.08259996,-0.17238252,9.34097767,0.00413041,-0.01535156,-0.31768641
4966.489328,0.98738319,0.00082848,-0.00790471,-0.15814927,0.00532632,-0.00532632,0.01065264,-0.08259996,-0.17238252,9.34097767,0.00413680,-0.01534852,-0.31767395
4966.491322,0.98738563,0.00082859,-0.00789662,-0.15813439,0.01065264,-0.01597896,0.01384844,0.02035072,-0.06344634,9.31105042,0.00413422,-0.01533257,-0.31764373
4966.493332,0.98738682,0.00082161,-0.00790442,-0.15812698,-0.00745685,-0.01278317,0.00639159,0.02035072,-0.06344634,9.31105042,0.00412279,-0.01535021,-0.31762871
4966.495290,0.98738974,0.00080964,-0.00788887,-0.15810929,-0.01810949,0.00213053,0.01278317,0.02394202,-0.08619126,9.41280365,0.00409397,-0.01532336,-0.31759256
4966.497224,0.98739070,0.00080696,-0.00789626,-0.15810300,-0.00213053,-0.01171791,0.00319579,0.02394202,-0.08619126,9.41280365,0.00409090,-0.01533883,-0.31757987
4966.499289,0.98739207,0.00079080,-0.00789787,-0.15809448,-0.00639159,-0.00106526,0.00319579,0.02394202,-0.08619126,9.41280365,0.00405937,-0.01534715,-0.31756237
