t_sys,force_FR,force_est_FR,force_FL,force_est_FL,force_RR,force_est_RR,force_RL,force_est_RL
4466.233925,114,0,122,0,140,0,137,0
4466.235919,114,0,122,0,140,0,137,0
4466.237986,114,0,122,0,140,0,137,0
4466.239944,114,0,122,0,140,0,137,0
4466.241885,114,0,122,0,140,0,137,0
4466.243875,114,0,122,0,140,0,137,0
4466.245838,114,0,122,0,140,0,137,0
4466.247754,114,0,122,0,140,0,137,0
4466.249829,114,0,122,0,140,0,137,0
4466.251848,114,0,122,0,140,0,137,0
4466.253933,114,0,122,0,140,0,137,0
4466.255945,114,0,122,0,140,0,137,0
4466.257822,114,0,122,0,140,0,137,0
4466.259875,114,0,122,0,140,0,137,0
4466.261889,114,0,122,0,140,0,137,0
4466.263910,114,0,122,0,140,0,137,0
4466.265630,114,0,122,0,140,0,137,0
4466.267952,114,0,122,0,140,0,137,0
4466.269826,114,0,122,0,140,0,137,0
4466.271887,114,0,122,0,140,0,137,0
4466.273906,114,0,122,0,140,0,137,0
4466.275914,114,0,122,0,140,0,137,0
4466.277894,114,0,122,0,140,0,137,0
4466.279678,114,0,122,0,140,0,137,0
4466.281739,114,0,122,0,140,0,137,0
4466.283933,114,0,122,0,140,0,137,0
4466.285978,114,0,122,0,140,0,137,0
4466.287734,114,0,122,0,140,0,137,0
4466.289915,114,0,122,0,140,0,137,0
4466.291747,114,0,122,0,140,0,137,0
4466.293908,114,0,122,0,140,0,137,0
4466.295767,114,0,122,0,140,0,137,0
4466.297738,114,0,122,0,140,0,137,0
4466.299697,114,0,122,0,140,0,137,0
4466.301898,114,0,122,0,140,0,137,0
4466.303880,114,0,122,0,140,0,137,0
4466.305885,114,0,122,0,140,0,137,0
4466.307667,114,0,122,0,140,0,137,0
4466.309745,114,0,122,0,140,0,137,0
4466.311641,114,0,122,0,140,0,137,0
4466.313873,114,0,122,0,140,0,137,0
4466.315891,114,0,122,0,140,0,137,0
4466.317861,114,0,122,0,140,0,137,0
4466.319794,114,0,122,0,140,0,137,0
4466.321658,114,0,122,0,140,0,137,0
4466.323841,114,0,122,0,140,0,137,0
4466.325847,114,0,122,0,140,0,137,0
4466.327827,114,0,122,0,140,0,137,0
4466.329860,114,0,122,0,140,0,137,0
4466.331844,114,0,122,0,140,0,137,0
4466.333880,114,0,122,0,140,0,137,0
4466.335933,114,0,122,0,140,0,137,0
4466.337895,114,0,122,0,140,0,137,0
4466.339878,114,0,122,0,140,0,137,0
4466.341892,114,0,122,0,140,0,137,0
4466.343889,114,0,122,0,140,0,137,0
4466.345896,114,0,122,0,140,0,137,0
4466.347885,114,0,122,0,140,0,137,0
4466.350044,114,0,122,0,140,0,137,0
4466.351847,114,0,122,0,140,0,137,0
4466.353875,114,0,122,0,140,0,137,0
4466.355910,114,0,122,0,140,0,137,0
4466.357882,114,0,122,0,140,0,137,0
4466.359863,114,0,122,0,140,0,137,0
4466.361818,114,0,122,0,140,0,137,0
4466.363812,114,0,122,0,140,0,137,0
4466.365804,114,0,122,0,140,0,137,0
4466.367829,114,0,122,0,140,0,137,0
4466.369819,114,0,122,0,140,0,137,0
4466.371938,114,0,122,0,140,0,137,0
4466.373881,114,0,122,0,140,0,137,0
4466.375885,114,0,122,0,140,0,137,0
4466.377909,114,0,122,0,140,0,137,0
4466.379878,114,0,122,0,140,0,137,0
4466.381884,114,0,122,0,140,0,137,0
4466.383883,114,0,122,0,140,0,137,0
4466.385894,114,0,122,0,140,0,137,0
4466.387690,114,0,122,0,140,0,137,0
4466.389656,114,0,122,0,140,0,137,0
4466.391920,114,0,122,0,140,0,137,0
4466.393860,114,0,122,0,140,0,137,0
4466.395929,114,0,122,0,140,0,137,0
4466.397909,114,0,122,0,140,0,137,0
4466.399882,114,0,122,0,140,0,137,0
4466.401943,114,0,122,0,140,0,138,0
4466.403815,114,0,122,0,140,0,138,0
4466.405810,114,0,122,0,140,0,138,0
4466.407874,114,0,122,0,140,0,138,0
4466.409841,114,0,122,0,140,0,137,0
4466.411822,114,0,122,0,140,0,137,0
4466.413885,114,0,122,0,140,0,137,0
4466.415938,114,0,122,0,140,0,137,0
4466.417884,114,0,122,0,140,0,137,0
4466.419895,114,0,122,0,140,0,137,0
4466.421879,114,0,122,0,140,0,137,0
4466.423694,114,0,122,0,140,0,137,0
4466.425918,114,0,122,0,140,0,137,0
4466.427906,114,0,122,0,140,0,137,0
4466.429907,114,0,122,0,140,0,137,0
4466.432078,114,0,122,0,140,0,137,0
4466.433884,114,0,122,0,140,0,137,0
4466.435837,114,0,122,0,140,0,137,0
4466.437843,114,0,122,0,140,0,137,0
4466.439733,114,0,122,0,140,0,137,0
4466.441798,114,0,122,0,140,0,137,0
4466.443878,114,0,122,0,140,0,137,0
4466.445921,114,0,122,0,140,0,137,0
4466.447906,114,0,122,0,140,0,137,0
4466.449886,114,0,122,0,140,0,137,0
4466.451940,114,0,122,0,140,0,137,0
4466.453856,114,0,122,0,140,0,137,0
4466.455585,114,0,122,0,140,0,137,0
4466.457615,114,0,122,0,140,0,137,0
4466.459833,114,0,122,0,140,0,137,0
4466.461621,114,0,122,0,140,0,137,0
4466.463679,114,0,122,0,140,0,137,0
4466.465680,114,0,122,0,140,0,137,0
4466.467626,114,0,122,0,140,0,137,0
