t_s,interval_ms,dropout
0.706772,2.204369,0
0.708581,1.809487,0
0.710754,2.173098,0
0.713070,2.315808,0
0.714829,1.759288,0
0.716759,1.929999,0
0.718815,2.055915,0
0.720791,1.976229,0
0.722618,1.826663,0
0.724589,1.971081,0
0.726549,1.959990,0
0.728668,2.118779,0
0.730668,2.000570,0
0.732694,2.025439,0
0.734683,1.989306,0
0.736677,1.993708,0
0.738567,1.890417,0
0.740817,2.249167,0
0.742684,1.867597,0
0.744666,1.981517,0
0.746651,1.984993,0
0.748741,2.089916,0
0.750752,2.011724,0
0.752588,1.836197,0
0.754778,2.189664,0
0.756601,1.822390,0
0.758580,1.979145,0
0.760889,2.309629,0
0.762975,2.085317,0
0.764681,1.706095,0
0.766773,2.092585,0
0.768752,1.978464,0
0.770390,1.638510,0
0.772442,2.052078,0
0.774456,2.013427,0
0.776514,2.058230,0
0.778541,2.027168,0
0.780555,2.014145,0
0.782540,1.985172,0
0.784514,1.973633,0
0.786554,2.040312,0
0.788504,1.949073,0
0.790519,2.015910,0
0.792536,2.017013,0
0.794529,1.992272,0
0.796564,2.034951,0
0.798703,2.139260,0
0.800671,1.967691,0
0.802712,2.041445,0
0.804940,2.227614,0
0.806746,1.806397,0
0.808707,1.960688,0
0.810710,2.003016,0
0.813097,2.387485,0
0.814682,1.584805,0
0.816773,2.091052,0
0.818942,2.169241,0
0.820709,1.766343,0
0.822995,2.286767,0
0.824668,1.672520,0
0.826889,2.220987,0
0.828897,2.007975,0
0.830723,1.826270,0
0.833094,2.370392,0
0.834669,1.575630,0
0.836653,1.983947,0
0.838715,2.062172,0
0.840734,2.018614,0
0.843097,2.362999,0
0.844676,1.579018,0
0.846646,1.970444,0
0.848942,2.295707,0
0.850855,1.912700,0
0.852615,1.760003,0
0.854669,2.054060,0
0.856685,2.016096,0
0.858815,2.130483,0
0.860871,2.055974,0
0.863124,2.252264,0
0.864674,1.549918,0
0.866909,2.235277,0
0.868932,2.023557,0
0.870869,1.936823,0
0.872709,1.839371,0
0.874712,2.003240,0
0.876769,2.056896,0
0.878887,2.118182,0
0.880596,1.709515,0
0.882415,1.818129,0
0.884460,2.045648,0
0.886443,1.982894,0
0.888457,2.014281,0
0.890462,2.004734,0
0.892525,2.062992,0
0.894507,1.981561,0
0.896557,2.050102,0
0.898419,1.862424,0
0.900379,1.959303,0
0.902433,2.054146,0
0.904435,2.002309,0
0.906463,2.028111,0
0.908506,2.042711,0
0.910626,2.120601,0
0.912630,2.003459,0
0.914423,1.793298,0
0.916559,2.135352,0
0.918523,1.964845,0
0.920517,1.993566,0
0.922603,2.086055,0
0.924531,1.928436,0
0.926897,2.365667,0
0.928957,2.059862,0
0.930758,1.801228,0
0.933174,2.415585,0
0.934707,1.532996,0
0.936674,1.966838,0
0.938873,2.199700,0
0.940888,2.015118,0
0.942656,1.767338,0
0.944891,2.234780,0
0.946724,1.833381,0
0.948933,2.208720,0
0.950952,2.018929,0
0.952928,1.976260,0
0.954841,1.912931,0
0.956775,1.934374,0
0.958896,2.120939,0
0.960913,2.016951,0
0.962778,1.864980,0
0.964675,1.897182,0
0.966784,2.108740,0
0.968711,1.926909,0
0.970900,2.188716,0
0.973057,2.157394,0
0.974887,1.829858,0
0.976898,2.010882,0
0.978943,2.045667,0
0.980947,2.003518,0
0.982806,1.859378,0
0.984819,2.012541,0
0.986775,1.956329,0
0.988718,1.943285,0
0.990712,1.993329,0
0.992824,2.112415,0
0.994962,2.138130,0
0.996715,1.752487,0
0.998794,2.079135,0
1.000793,1.998590,0
1.002949,2.156547,0
1.004713,1.764263,0
1.006791,2.077432,0
1.008719,1.928367,0
1.011069,2.349701,0
1.013207,2.137798,0
1.014811,1.603980,0
1.016915,2.104733,0
1.018940,2.024409,0
1.020921,1.981307,0
1.023196,2.274887,0
1.024890,1.693605,0
1.026690,1.800196,0
1.028712,2.021973,0
1.030924,2.212141,0
1.033131,2.207326,0
1.034925,1.793404,0
1.036806,1.880977,0
1.038831,2.025155,0
1.040799,1.968541,0
1.042686,1.886638,0
1.044603,1.917331,0
1.046645,2.042015,0
1.048694,2.048870,0
1.050943,2.248790,0
1.053268,2.325539,0
1.054809,1.540341,0
1.056683,1.873782,0
1.058922,2.239059,0
1.060978,2.056264,0
1.063155,2.177447,0
1.064703,1.547324,0
1.066690,1.986869,0
1.068729,2.039452,0
1.070918,2.189518,0
1.072795,1.876435,0
1.074738,1.943075,0
1.076905,2.167044,0
1.078676,1.770520,0
1.080645,1.969650,0
1.083062,2.416929,0
1.084950,1.887437,0
1.086794,1.844261,0
1.088835,2.040956,0
1.090778,1.942917,0
1.092734,1.956199,0
1.094820,2.085845,0
1.096570,1.749909,0
1.098808,2.238715,0
1.100800,1.991749,0
1.102811,2.010864,0
1.104808,1.997194,0
1.106888,2.080246,0
1.108765,1.876307,0
1.110702,1.936957,0
1.112729,2.027193,0
1.114844,2.115504,0
1.116679,1.834514,0
1.118682,2.003125,0
1.120847,2.164521,0
1.122806,1.959119,0
1.124857,2.051046,0
1.126767,1.910095,0
1.128614,1.847545,0
1.130589,1.974482,0
1.132712,2.123196,0
1.134774,2.061604,0
1.136642,1.868071,0
1.138470,1.828259,0
1.140571,2.100949,0
1.142627,2.055599,0
1.144667,2.040469,0
1.146678,2.011382,0
1.148474,1.795242,0
1.150693,2.219744,0
1.152720,2.027103,0
1.154665,1.944269,0
1.156698,2.033131,0
1.158826,2.128026,0
1.160633,1.806881,0
1.162978,2.344958,0
1.164593,1.615232,0
1.166747,2.153895,0
1.168778,2.031188,0
1.170673,1.894481,0
1.172721,2.048842,0
1.174808,2.086700,0
1.176622,1.813773,0
1.178608,1.985823,0
1.180740,2.132104,0
1.182982,2.242616,0
1.184548,1.566064,0
1.186743,2.194421,0
1.188600,1.857621,0
1.190821,2.220388,0
1.193070,2.248760,0
1.194606,1.536703,0
1.196767,2.160306,0
1.198815,2.048197,0
1.200804,1.988929,0
1.202625,1.820996,0
1.204583,1.958502,0
1.206561,1.977326,0
1.208617,2.056723,0
1.210616,1.998207,0
1.212718,2.102683,0
1.214655,1.937179,0
1.216766,2.110988,0
1.218739,1.972994,0
1.220646,1.907116,0
1.223109,2.462762,0
