t_sys,q_FR_hip,dq_FR_hip,tau_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf
4966.377106,-0.01693255,-0.00775105,0.59371877,0.73518300,0.04650629,-1.73167968,-1.42418468,0.00606604,6.30620050,0.03246492,0.01162657,-1.63272667,0.71453375,0.00000000,-0.96479297,-1.44377279,0.01819811,7.20708609,-0.07301164,0.03875524,2.22644544,0.68815660,-0.01937762,1.50903523,-1.39797735,0.00808805,6.87518072,0.06668365,0.02325314,-1.36060548,0.70057034,-0.04650629,2.25118375,-1.43577969,-0.02628616,7.44416142
4966.379295,-0.01693255,0.00000000,0.56898046,0.73521328,0.06975943,-1.73167968,-1.42420042,-0.02022013,6.40103054,0.03243464,-0.03875524,-1.60798836,0.71450347,0.00775105,-0.98953128,-1.44375706,0.04852830,7.11225605,-0.07301164,0.03875524,2.20170712,0.68815660,0.03487971,1.45955861,-1.39797735,0.01011006,6.87518072,0.06671393,0.08913705,-1.38534379,0.70063090,0.05425733,2.25118375,-1.43576396,0.00202201,7.49157619
4966.381314,-0.01693255,0.00000000,0.59371877,0.73521328,0.06975943,-1.73167968,-1.42420042,-0.03235220,6.30620050,0.03246492,0.00387552,-1.60798836,0.71453375,0.01162657,-0.98953128,-1.44377279,0.00606604,7.20708609,-0.07301164,0.03100419,2.15223050,0.68815660,0.05813286,1.48429692,-1.39799309,-0.02022013,6.97001076,0.06665337,-0.03100419,-1.45955861,0.70057034,-0.05813286,2.25118375,-1.43574810,0.04044025,7.44416142
4966.383255,-0.01696283,0.04650629,0.59371877,0.73515272,-0.01937762,-1.78115630,-1.42418468,-0.00202201,6.40103054,0.03246492,-0.03487971,-1.58325005,0.71450347,-0.02325314,-0.98953128,-1.44377279,0.01415409,7.20708609,-0.07301164,0.03100419,2.20170712,0.68815660,0.03875524,1.50903523,-1.39797735,0.00000000,6.87518072,0.06665337,-0.00775105,-1.45955861,0.70060062,0.00000000,2.30066013,-1.43576396,0.02022013,7.49157619
4966.385256,-0.01693255,-0.04263076,0.59371877,0.73512244,-0.03100419,-1.78115630,-1.42420042,-0.02426415,6.44844532,0.03246492,0.00775105,-1.58325005,0.71450347,-0.02325314,-0.98953128,-1.44377279,0.00606604,7.25450134,-0.07301164,0.05038181,2.12749219,0.68815660,0.03875524,1.50903523,-1.39799309,-0.02022013,6.87518072,0.06671393,0.08138600,-1.45955861,0.70060062,-0.01162657,2.30066013,-1.43577969,0.01415409,7.39674616
4966.387254,-0.01693255,-0.02325314,0.59371877,0.73515272,-0.00387552,-1.73167968,-1.42420042,-0.02426415,6.44844532,0.03246492,-0.01937762,-1.58325005,0.71450347,-0.03875524,-0.98953128,-1.44375706,0.03437421,7.11225605,-0.07301164,0.06200838,2.12749219,0.68815660,0.03875524,1.50903523,-1.39799309,-0.01617610,6.82776594,0.06668365,0.00387552,-1.41008210,0.70060062,-0.00387552,2.32539845,-1.43576396,0.00808805,7.49157619
4966.389271,-0.01690227,0.05425733,0.59371877,0.73518300,0.04263076,-1.78115630,-1.42420042,-0.01415409,6.40103054,0.03246492,0.00000000,-1.58325005,0.71450347,-0.01550210,-0.96479297,-1.44377279,0.00000000,7.25450134,-0.07304192,-0.00387552,2.15223050,0.68812633,-0.01937762,1.55851173,-1.39799309,-0.01819811,6.87518072,0.06665337,-0.01937762,-1.45955861,0.70057034,-0.06588390,2.30066013,-1.43576396,0.00606604,7.44416142
4966.391282,-0.01696283,-0.08138600,0.59371877,0.73515272,0.00387552,-1.78115630,-1.42418468,0.00606604,6.44844532,0.03246492,0.00000000,-1.58325005,0.71453375,0.01937762,-0.98953128,-1.44377279,0.01011006,7.20708609,-0.07304192,-0.00387552,2.15223050,0.68815660,0.03875524,1.48429692,-1.39797735,0.00202201,6.87518072,0.06671393,0.06588390,-1.45955861,0.70060062,-0.01162657,2.32539845,-1.43576396,0.00606604,7.49157619
4966.393267,-0.01696283,-0.05038181,0.59371877,0.73515272,0.00387552,-1.78115630,-1.42418468,0.00000000,6.30620050,0.03246492,0.00775105,-1.55851173,0.71450347,-0.03875524,-0.96479297,-1.44375706,0.04246226,7.20708609,-0.07301164,0.03875524,2.20170712,0.68815660,0.01162657,1.48429692,-1.39799309,-0.02022013,6.87518072,0.06668365,0.03875524,-1.38534379,0.70060062,0.00000000,2.25118375,-1.43577969,-0.00808805,7.44416142
4966.395337,-0.01693255,0.01937762,0.59371877,0.73518300,0.03875524,-1.83063293,-1.42420042,-0.02022013,6.30620050,0.03243464,-0.03100419,-1.55851173,0.71450347,-0.02325314,-0.98953128,-1.44378865,-0.02830817,7.25450134,-0.07304192,-0.01550210,2.15223050,0.68815660,0.01162657,1.48429692,-1.39800894,-0.03841824,6.82776594,0.06665337,-0.01937762,-1.45955861,0.70060062,0.00000000,2.25118375,-1.43576396,0.02022013,7.49157619
4966.397359,-0.01696283,-0.05813286,0.59371877,0.73515272,0.00000000,-1.73167968,-1.42418468,0.01011006,6.30620050,0.03246492,0.01937762,-1.58325005,0.71450347,-0.01162657,-0.96479297,-1.44378865,-0.02426415,7.30191612,-0.07304192,0.00000000,2.12749219,0.68815660,0.00775105,1.48429692,-1.39797735,0.01415409,6.87518072,0.06668365,0.00775105,-1.38534379,0.70057034,-0.05813286,2.30066013,-1.43576396,0.01415409,7.39674616
4966.399333,-0.01699311,-0.08138600,0.59371877,0.73515272,0.00000000,-1.73167968,-1.42420042,-0.02022013,6.30620050,0.03243464,-0.02712867,-1.58325005,0.71450347,-0.01162657,-0.96479297,-1.44377279,0.01819811,7.20708609,-0.07304192,0.00000000,2.15223050,0.68818688,0.06975943,1.50903523,-1.39799309,-0.01617610,6.87518072,0.06665337,-0.01550210,-1.45955861,0.70057034,-0.05813286,2.25118375,-1.43574810,0.04448427,7.44416142
