t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
7416.887766545,-0.003195793,0.001065264,0.005326321,-0.773327172,0.398634583,9.412803650
7416.889839389,-0.004261057,-0.007456850,-0.005326321,-0.794874966,0.412999779,9.290699959
7416.891698209,-0.013848436,-0.002130529,0.006391586,-0.794874966,0.412999779,9.290699959
7416.893697393,-0.005326321,-0.006391586,-0.005326321,-0.794874966,0.412999779,9.290699959
7416.895744180,-0.005326321,-0.004261057,0.001065264,-0.779312670,0.408211380,9.398438454
7416.897558509,-0.004261057,-0.006391586,-0.018109493,-0.779312670,0.408211380,9.398438454
7416.899681878,0.000000000,-0.009587379,-0.007456850,-0.780509770,0.401028782,9.352949142
7416.901724660,0.006391586,0.000000000,-0.003195793,-0.780509770,0.401028782,9.352949142
7416.904012344,-0.001065264,-0.007456850,-0.005326321,-0.780509770,0.401028782,9.352949142
7416.905975411,-0.009587379,-0.008522115,-0.010652643,-0.784101069,0.389057785,9.279925346
7416.907830272,0.004261057,-0.010652643,-0.008522115,-0.784101069,0.389057785,9.279925346
7416.909917383,0.008522115,0.000000000,0.001065264,-0.770932972,0.399831682,9.344569206
7416.911714650,-0.007456850,-0.015978964,0.005326321,-0.770932972,0.399831682,9.344569206
7416.913773130,-0.007456850,-0.010652643,0.008522115,-0.770932972,0.399831682,9.344569206
7416.915731372,-0.004261057,-0.007456850,0.004261057,-0.793677866,0.392649084,9.390059471
7416.917665054,-0.006391586,-0.008522115,0.004261057,-0.793677866,0.392649084,9.390059471
7416.919999312,-0.004261057,-0.004261057,-0.001065264,-0.772130072,0.409408480,9.284713745
7416.921904570,0.001065264,-0.007456850,0.002130529,-0.772130072,0.409408480,9.284713745
7416.923895014,-0.005326321,0.004261057,0.003195793,-0.772130072,0.409408480,9.284713745
7416.925915310,0.004261057,-0.015978964,-0.010652643,-0.778115571,0.397437483,9.369708061
7416.927689192,-0.003195793,-0.010652643,-0.006391586,-0.778115571,0.397437483,9.369708061
7416.929917645,-0.001065264,-0.013848436,0.009587379,-0.769735873,0.389057785,9.344569206
7416.931751658,-0.009587379,-0.010652643,0.000000000,-0.769735873,0.389057785,9.344569206
7416.933772433,-0.001065264,-0.022370551,-0.007456850,-0.769735873,0.389057785,9.344569206
7416.935586912,0.004261057,-0.006391586,0.001065264,-0.782903969,0.408211380,9.315838814
7416.937735970,-0.007456850,0.002130529,-0.003195793,-0.782903969,0.408211380,9.315838814
7416.939757764,-0.003195793,0.004261057,0.000000000,-0.814028561,0.411802679,9.379284859
7416.941753598,-0.003195793,-0.004261057,-0.002130529,-0.814028561,0.411802679,9.379284859
7416.943759611,-0.009587379,-0.001065264,-0.011717907,-0.814028561,0.411802679,9.379284859
7416.945749164,0.002130529,-0.005326321,-0.001065264,-0.787692368,0.417788208,9.352949142
7416.947728113,-0.005326321,-0.007456850,-0.005326321,-0.787692368,0.417788208,9.352949142
7416.949772597,0.006391586,-0.011717907,0.003195793,-0.794874966,0.414196908,9.350554466
7416.951779992,0.003195793,-0.009587379,-0.008522115,-0.794874966,0.414196908,9.350554466
7416.953816528,-0.001065264,-0.015978964,-0.013848436,-0.794874966,0.414196908,9.350554466
7416.955770496,0.002130529,-0.004261057,0.001065264,-0.799663365,0.403422982,9.352949142
7416.957768283,-0.007456850,-0.001065264,-0.001065264,-0.799663365,0.403422982,9.352949142
7416.959779699,0.002130529,-0.013848436,-0.001065264,-0.779312670,0.420182407,9.311050415
7416.961768577,-0.004261057,-0.013848436,0.001065264,-0.779312670,0.420182407,9.311050415
7416.963761874,0.001065264,0.003195793,0.004261057,-0.779312670,0.420182407,9.311050415
7416.965788236,-0.007456850,-0.014913701,0.000000000,-0.775721371,0.403422982,9.366117477
7416.967830528,0.000000000,-0.006391586,-0.009587379,-0.775721371,0.403422982,9.366117477
7416.969815490,-0.008522115,-0.018109493,-0.007456850,-0.787692368,0.401028782,9.384073257
7416.971804862,-0.004261057,-0.012783172,-0.010652643,-0.787692368,0.401028782,9.384073257
7416.973765409,0.004261057,-0.014913701,0.000000000,-0.787692368,0.401028782,9.384073257
7416.975781292,-0.015978964,-0.006391586,0.001065264,-0.773327172,0.426167905,9.326612473
7416.977821482,-0.002130529,-0.008522115,-0.001065264,-0.773327172,0.426167905,9.326612473
7416.979802976,-0.009587379,-0.010652643,-0.001065264,-0.762553215,0.434547603,9.388861656
7416.981755268,-0.006391586,-0.006391586,-0.009587379,-0.762553215,0.434547603,9.388861656
7416.983715834,-0.009587379,-0.011717907,-0.007456850,-0.762553215,0.434547603,9.388861656
7416.985744006,-0.003195793,-0.005326321,-0.001065264,-0.784101069,0.415394008,9.417592049
7416.987717576,-0.008522115,-0.020240022,-0.011717907,-0.784101069,0.415394008,9.417592049
7416.989753618,-0.007456850,-0.014913701,0.004261057,-0.791283667,0.409408480,9.294290543
7416.991714039,-0.003195793,-0.006391586,-0.005326321,-0.791283667,0.409408480,9.294290543
7416.993698759,-0.012783172,0.000000000,0.004261057,-0.791283667,0.409408480,9.294290543
7416.995698222,-0.004261057,-0.007456850,-0.002130529,-0.796072066,0.408211380,9.374496460
7416.997700512,-0.001065264,-0.012783172,0.004261057,-0.796072066,0.408211380,9.374496460
7416.999732816,-0.010652643,-0.018109493,0.003195793,-0.792480767,0.415394008,9.318233490
7417.001562309,-0.010652643,-0.009587379,-0.003195793,-0.792480767,0.415394008,9.318233490
7417.003793876,-0.007456850,-0.019174758,-0.007456850,-0.792480767,0.415394008,9.318233490
7417.005747615,-0.002130529,-0.011717907,-0.005326321,-0.762553215,0.410605580,9.350554466
7417.007758454,-0.004261057,-0.001065264,0.000000000,-0.762553215,0.410605580,9.350554466
7417.009787024,0.000000000,-0.010652643,-0.009587379,-0.768538773,0.375889659,9.403226852
7417.011760871,-0.004261057,-0.004261057,-0.012783172,-0.768538773,0.375889659,9.403226852
7417.013782929,0.006391586,-0.006391586,0.006391586,-0.768538773,0.375889659,9.403226852
7417.015783203,-0.001065264,-0.003195793,0.005326321,-0.774524271,0.384269387,9.295488358
7417.017806179,0.005326321,-0.005326321,0.001065264,-0.774524271,0.384269387,9.295488358
7417.019812916,-0.008522115,-0.012783172,0.006391586,-0.796072066,0.418985307,9.330204010
7417.021747239,0.008522115,-0.024501080,-0.013848436,-0.796072066,0.418985307,9.330204010
7417.023801965,-0.010652643,-0.004261057,0.003195793,-0.782903969,0.401028782,9.385271072
