t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
3331.826158557,-0.008522115,-0.018109493,-0.003195793,-0.560243189,0.372298360,9.320627213
3331.828267096,-0.003195793,-0.007456850,0.000000000,-0.562637389,0.399831682,9.330204010
3331.830340577,-0.006391586,-0.006391586,-0.009587379,-0.562637389,0.399831682,9.330204010
3331.832343261,0.002130529,-0.015978964,0.000000000,-0.562637389,0.399831682,9.330204010
3331.834340937,-0.003195793,-0.017044229,0.001065264,-0.556651890,0.404620081,9.331400871
3331.836331694,0.001065264,-0.010652643,-0.002130529,-0.556651890,0.404620081,9.331400871
3331.838223587,-0.004261057,-0.013848436,-0.003195793,-0.574608386,0.369904160,9.290699959
3331.840253177,-0.009587379,-0.006391586,0.005326321,-0.574608386,0.369904160,9.290699959
3331.842237162,-0.001065264,-0.015978964,0.001065264,-0.574608386,0.369904160,9.290699959
3331.844271326,-0.003195793,-0.003195793,0.000000000,-0.560243189,0.360327363,9.336189270
3331.846250473,-0.003195793,-0.011717907,-0.005326321,-0.560243189,0.360327363,9.336189270
3331.848230216,-0.010652643,0.001065264,0.002130529,-0.562637389,0.366312861,9.351752281
3331.850303456,-0.003195793,-0.008522115,0.001065264,-0.562637389,0.366312861,9.351752281
3331.852305236,-0.019174758,-0.018109493,0.005326321,-0.562637389,0.366312861,9.351752281
3331.854247279,-0.001065264,0.007456850,-0.007456850,-0.548272192,0.373495460,9.318233490
3331.856285879,-0.010652643,-0.011717907,0.002130529,-0.548272192,0.373495460,9.318233490
3331.858381125,-0.011717907,-0.009587379,-0.004261057,-0.551863492,0.381875157,9.344569206
3331.860310648,0.004261057,-0.008522115,-0.008522115,-0.551863492,0.381875157,9.344569206
3331.862325519,-0.008522115,-0.008522115,-0.003195793,-0.551863492,0.381875157,9.344569206
3331.864326662,-0.015978964,-0.005326321,-0.002130529,-0.563834488,0.391451985,9.358934402
3331.866402707,0.003195793,-0.013848436,0.007456850,-0.563834488,0.391451985,9.358934402
3331.868079785,0.001065264,-0.014913701,-0.010652643,-0.554257691,0.385466486,9.265560150
3331.870327853,-0.013848436,-0.018109493,0.002130529,-0.554257691,0.385466486,9.265560150
3331.872435136,-0.008522115,-0.008522115,-0.006391586,-0.554257691,0.385466486,9.265560150
3331.874294481,-0.009587379,-0.003195793,-0.008522115,-0.578199685,0.379480958,9.317035675
3331.876468839,-0.007456850,-0.011717907,0.005326321,-0.578199685,0.379480958,9.317035675
3331.878239554,-0.006391586,-0.006391586,0.004261057,-0.557848990,0.381875157,9.357737541
3331.880119149,-0.002130529,-0.002130529,-0.002130529,-0.557848990,0.381875157,9.357737541
3331.882521212,0.003195793,-0.009587379,-0.005326321,-0.557848990,0.381875157,9.357737541
3331.884454868,-0.001065264,0.001065264,-0.004261057,-0.545877993,0.380678058,9.293093681
3331.886470971,-0.010652643,-0.002130529,0.000000000,-0.545877993,0.380678058,9.293093681
3331.888367099,-0.004261057,-0.008522115,-0.006391586,-0.559046090,0.402225882,9.379284859
3331.890629547,-0.007456850,-0.008522115,0.001065264,-0.559046090,0.402225882,9.379284859
3331.892629536,-0.004261057,-0.010652643,-0.003195793,-0.559046090,0.402225882,9.379284859
3331.894492352,-0.004261057,-0.008522115,-0.007456850,-0.543483794,0.381875157,9.332598686
3331.896493328,-0.002130529,-0.020240022,-0.011717907,-0.543483794,0.381875157,9.332598686
3331.898362733,-0.004261057,-0.007456850,-0.001065264,-0.567425787,0.387860686,9.249998093
3331.900573923,-0.002130529,-0.019174758,-0.005326321,-0.567425787,0.387860686,9.249998093
3331.902468594,-0.003195793,-0.009587379,-0.006391586,-0.569819987,0.397437483,9.345766068
3331.904486956,-0.009587379,-0.006391586,0.002130529,-0.569819987,0.397437483,9.345766068
3331.906380336,-0.001065264,0.000000000,0.002130529,-0.569819987,0.397437483,9.345766068
3331.908396829,-0.006391586,-0.014913701,-0.001065264,-0.547075093,0.390254885,9.343372345
3331.910397708,-0.008522115,-0.006391586,-0.008522115,-0.547075093,0.390254885,9.343372345
3331.912258784,-0.010652643,-0.011717907,0.001065264,-0.543483794,0.421379507,9.277531624
3331.914494781,-0.008522115,-0.002130529,0.004261057,-0.543483794,0.421379507,9.277531624
3331.916272983,-0.010652643,-0.002130529,-0.004261057,-0.543483794,0.421379507,9.277531624
3331.918201741,-0.007456850,-0.018109493,0.006391586,-0.555454791,0.386663586,9.370905876
3331.920146749,-0.014913701,0.000000000,-0.002130529,-0.555454791,0.386663586,9.370905876
3331.922227244,0.000000000,-0.010652643,-0.002130529,-0.562637389,0.355538964,9.351752281
3331.924379690,-0.009587379,-0.009587379,-0.003195793,-0.562637389,0.355538964,9.351752281
3331.926459423,-0.003195793,-0.009587379,-0.001065264,-0.562637389,0.355538964,9.351752281
3331.928488620,-0.007456850,-0.009587379,0.002130529,-0.554257691,0.383072257,9.295488358
3331.930472210,-0.006391586,-0.005326321,0.009587379,-0.554257691,0.383072257,9.295488358
3331.932474366,0.005326321,-0.007456850,0.001065264,-0.550666392,0.375889659,9.372102737
3331.934472263,-0.002130529,-0.009587379,0.007456850,-0.550666392,0.375889659,9.372102737
3331.936481665,-0.002130529,-0.007456850,-0.007456850,-0.550666392,0.375889659,9.372102737
